longitude,latitude,Planting Site Width,Planting Site Length,Genus,Species,Common Name,Diameter,Tree Height,Canopy Height
-75.2815662877,39.9846238181,,,,,,,,
-75.2713261568,39.9882999691,,,,,,,,
-75.2492436402,39.9944435597,,,,,,,,
-75.2651014411,39.9959966598,,,,,,,,
-75.2508885855,40.0136091802,,,,,,,,
-75.3155841672,40.0592805329,,,,,,,,
-75.31572313,40.0593114612,,,,,,,,
-75.2511450736,40.0154971213,,,,,,,,
-75.2751196855,40.0144836935,,,,,,,,
-75.2630719817,39.9925290331,,,,,,,,
-75.2934880128,40.0178910044,,,,,,,,
-75.3356758053,40.0386637116,,,,,,,,
-75.2715177069,39.9960952466,,,,,,,,
-75.2825995602,39.995336653,,,,,,,,
-75.2774255216,40.0137594181,,,,,,,,
-75.2723268561,39.9963983726,,,,,,,,
-75.3293034643,40.0371450083,,,,,,,,
-75.2857065108,39.9938504827,,,,,,,,
-75.3284450404,40.0282410579,,,,,,,,
-75.3064971912,40.0545184169,,,,,,,,
-75.3347147869,40.0544725665,,,,,,,,
-75.3309355232,40.0303144195,,,,,,,,
-75.2509995275,40.0005063851,,,,,,,,
-75.3203780761,40.0308204916,,,,,,,,
-75.2494340184,40.0044784266,,,,,,,,
-75.3110556865,40.0461738436,,,,,,,,
-75.2630930776,40.0138561388,,,,,,,,
-75.2633343547,40.0140840756,,,,,,,,
-75.3233010773,40.0481565634,,,,,,,,
-75.2833923585,39.9943611973,,,,,,,,
-75.2848153527,40.010578047,,,,,,,,
-75.2523351794,40.0210504303,,,,,,,,
-75.3195785378,40.0485303973,,,,,,,,
-75.3207162028,40.0550542758,,,,,,,,
-75.2974799864,40.0210043262,,,,,,,,
-75.339009054,40.045916551,,,,,,,,
-75.3388241602,40.0461929851,,,,,,,,
-75.3399644338,40.0453064504,,,,,,,,
-75.3238745718,40.0415398963,,,,,,,,
-75.2356131707,40.0043763504,,,,,,,,
-75.2357799818,40.0043051224,,,,,,,,
-75.2504104984,40.021771423,,,,,,,,
-75.3049535264,40.0414002716,,,,,,,,
-75.2934151218,40.0561028832,,,,,,,,
-75.2959071164,40.0536151184,,,,,,,,
-75.3443771917,40.0540453539,,,,,,,,
-75.3441768364,40.0539949772,,,,,,,,
-75.3305510534,40.0435808643,,,,,,,,
-75.2954978762,40.0370480206,,,,,,,,
-75.3286795426,40.0470115525,,,,,,,,
-75.3336114413,40.0495269416,,,,,,,,
-75.3349038656,40.0481752945,,,,,,,,
-75.3343308002,40.0507239783,,,,,,,,
-75.3330162381,40.0513632309,,,,,,,,
-75.3080398903,40.0197598408,5,5,,,,,,
-75.3098600732,40.032188208,,,,,,,,
-75.3094275401,40.0265133329,,,,,,,,
-75.2905177694,40.046453918,,,,,,,,
-75.1552606356,39.9313010976,3,3,Platanus,occidentalis,American sycamore,8,,
-75.3014276099,40.0355105938,,,Platanus,occidentalis,American sycamore,25,,
-75.2841224381,40.0005684775,4,4,Fraxinus,pennsylvanica,Green ash,31,,
-75.237962991,40.008653841,5,5,Quercus,palustris,Pin oak,24,,
-75.3179870407,40.0333018327,,,Fraxinus,pennsylvanica,Green ash,25,,
